CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0.01665
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0.01665
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0.01665
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0.016675
CPU	 41	 0.01665
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.01665
CPU	 49	 0.016675
IO	 0	 9.46665
IO	 2	 9.5
IO	 4	 9.53332
IO	 6	 9.56665
IO	 8	 9.6
IO	 10	 9.61668
IO	 12	 9.65
IO	 14	 9.66667
IO	 16	 9.68332
IO	 18	 9.7
IO	 20	 9.7
IO	 22	 9.7
IO	 24	 9.71665
IO	 26	 9.71668
IO	 28	 9.71668
IO	 30	 9.71665
IO	 32	 9.7
IO	 34	 9.7
IO	 36	 9.66667
IO	 38	 9.65
IO	 40	 9.63332
IO	 42	 9.61668
IO	 44	 9.58333
IO	 46	 9.55
IO	 48	 9.51667
