CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0.01665
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0.01665
CPU	 21	 0.016675
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0.016675
CPU	 33	 0
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
CPU	 51	 0.016675
CPU	 53	 0
CPU	 55	 0.016675
CPU	 57	 0
CPU	 59	 0
CPU	 61	 0.01665
CPU	 63	 0.01665
CPU	 65	 0.01665
CPU	 67	 0.01665
CPU	 69	 0.01665
CPU	 71	 0
CPU	 73	 0.016675
CPU	 75	 0
CPU	 77	 0.016675
CPU	 79	 0.01665
CPU	 81	 0.033325
CPU	 83	 0.03335
CPU	 85	 0.033325
CPU	 87	 0
CPU	 89	 0.016675
CPU	 91	 0.01665
CPU	 93	 0.016675
CPU	 95	 0.033325
CPU	 97	 0.016675
CPU	 99	 0.033325
IO	 0	 198.233
IO	 2	 198.317
IO	 4	 198.4
IO	 6	 198.467
IO	 8	 198.55
IO	 10	 198.6
IO	 12	 198.667
IO	 14	 198.717
IO	 16	 198.783
IO	 18	 198.833
IO	 20	 198.883
IO	 22	 198.933
IO	 24	 198.983
IO	 26	 199.017
IO	 28	 199.067
IO	 30	 199.083
IO	 32	 199.117
IO	 34	 199.15
IO	 36	 199.183
IO	 38	 199.2
IO	 40	 199.217
IO	 42	 199.233
IO	 44	 199.233
IO	 46	 199.25
IO	 48	 199.25
IO	 50	 199.267
IO	 52	 199.267
IO	 54	 199.25
IO	 56	 199.25
IO	 58	 199.233
IO	 60	 199.217
IO	 62	 199.2
IO	 64	 199.183
IO	 66	 199.167
IO	 68	 199.133
IO	 70	 199.117
IO	 72	 199.083
IO	 74	 199.033
IO	 76	 199.017
IO	 78	 198.967
IO	 80	 198.917
IO	 82	 198.867
IO	 84	 198.833
IO	 86	 198.75
IO	 88	 198.7
IO	 90	 198.65
IO	 92	 198.583
IO	 94	 198.517
IO	 96	 198.45
IO	 98	 198.383
